,V1,V2,V3,V4,V5,V6,V7
Pop_AgeGroups,4261000,Pittsburgh,14900,84614,109112,52991,43395
Pop_AgeGroups,4224000,Erie,6573,28000,32084,18505,13808
Pop_AgeGroups,4474300,Warwick,4186,15898,26046,19415,15673
Pop_AgeGroups,4459000,Providence,11289,61114,63284,26580,17242
Pop_AgeGroups,4454640,Pawtucket,4907,17825,26098,14018,8922
Pop_AgeGroups,4419180,Cranston,4739,18603,27048,17122,13467
Pop_AgeGroups,4548535,Mount Pleasant,4945,18414,29053,15936,12313
Pop_AgeGroups,4513330,Charleston,7739,32732,49375,23154,18204
Pop_AgeGroups,4550875,North Charleston,7982,30023,40764,18670,10747
Pop_AgeGroups,4561405,Rock Hill,4938,21540,24359,11236,8691
Pop_AgeGroups,4516000,Columbia,6696,50409,43044,19251,12836
Pop_AgeGroups,4659020,Sioux Falls,13053,45576,60642,30762,20368
Pop_AgeGroups,4652980,Rapid City,4951,18549,22612,14393,12336
Pop_AgeGroups,4740000,Knoxville,10612,57937,60896,30708,24312
Pop_AgeGroups,4714000,Chattanooga,10702,44589,59557,33983,27460
Pop_AgeGroups,4752006,Nashville,45409,162229,258392,114917,73240
Pop_AgeGroups,4715160,Clarksville,13535,45413,57351,19624,11848
Pop_AgeGroups,4751560,Murfreesboro,7988,43087,45729,18513,10871
Pop_AgeGroups,4748000,Memphis,50003,186466,222052,118905,77297
Pop_AgeGroups,4857200,Pharr,8025,26508,24467,8867,8860
Pop_AgeGroups,4845384,McAllen,11079,43218,47052,21177,17312
Pop_AgeGroups,4822660,Edinburg,8441,31289,29131,11129,6133
Pop_AgeGroups,4841464,Laredo,25228,89915,83911,33808,22443
Pop_AgeGroups,4848768,Mission,7853,28932,25512,11176,9569
Pop_AgeGroups,4865000,San Antonio,104089,427841,516490,243885,169318
Pop_AgeGroups,4863500,Round Rock,7966,35836,45325,18508,8734
Pop_AgeGroups,4805000,Austin,61507,233106,405188,140317,76788
Pop_AgeGroups,4839148,Killeen,14570,45148,55427,17067,8301
Pop_AgeGroups,4810768,Brownsville,15711,63916,56033,25786,20637
Pop_AgeGroups,4864472,San Angelo,6970,29546,32029,16152,14438
Pop_AgeGroups,4815976,College Station,5684,56329,29177,9848,6407
Pop_AgeGroups,4810912,Bryan,6050,25901,29748,11722,8322
Pop_AgeGroups,4835000,Houston,176507,623906,869808,368655,228460
Pop_AgeGroups,4870808,Sugar Land,4702,21862,26968,20784,12570
Pop_AgeGroups,4856348,Pearland,9223,30553,43004,19247,11666
Pop_AgeGroups,4848804,Missouri City,4405,19279,23419,17116,8469
Pop_AgeGroups,4841980,League City,8087,27181,36702,16860,9385
Pop_AgeGroups,4856000,Pasadena,13424,48868,51186,25885,14546
Pop_AgeGroups,4806128,Baytown,6114,23213,25112,12864,8902
Pop_AgeGroups,4817000,Corpus Christi,22157,91659,107140,59144,42626
Pop_AgeGroups,4807000,Beaumont,8714,34141,37638,21538,16393
Pop_AgeGroups,4874144,Tyler,7561,30189,32392,16790,15629
Pop_AgeGroups,4843888,Longview,6443,23360,26027,14636,11753
Pop_AgeGroups,4847892,Mesquite,10882,45448,48377,25365,14046
Pop_AgeGroups,4819000,Dallas,101806,363013,497842,209839,127622
Pop_AgeGroups,4845744,McKinney,12743,48567,62839,25181,15430
Pop_AgeGroups,4861796,Richardson,7307,28707,37899,20625,16517
Pop_AgeGroups,4829000,Garland,16566,70402,78419,44276,26302
Pop_AgeGroups,4858016,Plano,15424,72751,100681,58546,34164
Pop_AgeGroups,4827684,Frisco,10301,47660,62972,22726,11704
Pop_AgeGroups,4801924,Allen,5834,30802,35473,17358,7398
Pop_AgeGroups,4876000,Waco,10156,48495,38822,19065,15458
Pop_AgeGroups,4830464,Grand Prairie,13823,58534,69095,31317,15895
Pop_AgeGroups,4804000,Arlington,27610,116670,137615,67678,38652
Pop_AgeGroups,4827000,Fort Worth,67508,251942,307194,130492,77993
Pop_AgeGroups,4819972,Denton,7248,47798,44286,18325,13440
Pop_AgeGroups,4837000,Irving,20063,66408,98383,33377,17417
Pop_AgeGroups,4842508,Lewisville,7974,27568,43681,15884,8531
Pop_AgeGroups,4813024,Carrollton,8167,34515,48724,26592,13242
Pop_AgeGroups,4803000,Amarillo,15938,56272,66486,33964,25163
Pop_AgeGroups,4845000,Lubbock,16863,88269,76775,37003,28413
Pop_AgeGroups,4848072,Midland,11117,37832,46353,22050,13934
Pop_AgeGroups,4801000,Abilene,8973,39104,39888,19307,15490
Pop_AgeGroups,4879000,Wichita Falls,6533,33151,33588,17760,13589
Pop_AgeGroups,4824000,El Paso,51728,208329,224007,111417,82785
Pop_AgeGroups,4853388,Odessa,10159,36608,39440,18339,11384
Pop_AgeGroups,4962470,Provo,9352,58699,32071,9130,6947
Pop_AgeGroups,4957300,Orem,9219,36151,28830,11439,8781
Pop_AgeGroups,4955980,Ogden,7240,25869,30694,12913,8781
Pop_AgeGroups,4943660,Layton,6659,25001,24708,11317,6278
Pop_AgeGroups,4965330,St. George,5775,23699,21532,11823,17166
Pop_AgeGroups,4967440,Sandy,6547,27220,30248,18917,11624
Pop_AgeGroups,4983470,West Valley City,12091,44149,49781,18766,10759
Pop_AgeGroups,4982950,West Jordan,9535,36655,41174,16686,7887
Pop_AgeGroups,4967000,Salt Lake City,13279,53169,78380,28749,20611
Pop_AgeGroups,5010675,Burlington,1392,18510,12419,5603,4529
Pop_AgeGroups,5116000,Chesapeake,14930,63800,80343,47741,28596
Pop_AgeGroups,5135000,Hampton,8414,37245,43868,27535,19193
Pop_AgeGroups,5164000,Portsmouth,7219,24820,31964,18189,13344
Pop_AgeGroups,5182000,Virginia Beach,29075,117490,161913,84240,57339
Pop_AgeGroups,5157000,Norfolk,16601,77500,86682,39698,25271
Pop_AgeGroups,5176432,Suffolk,5925,23166,29430,17777,11759
Pop_AgeGroups,5156000,Newport News,13302,51501,61959,32226,21787
Pop_AgeGroups,5101000,Alexandria,11307,25739,74689,26736,16239
Pop_AgeGroups,5167000,Richmond,13393,56469,83649,40759,26622
Pop_AgeGroups,5147672,Lynchburg,4776,30506,20923,12016,11016
Pop_AgeGroups,5168000,Roanoke,6854,23220,34364,19762,15372
Pop_AgeGroups,5305280,Bellingham,3674,30575,26140,12846,12153
Pop_AgeGroups,5323515,Federal Way,6103,25978,31688,18916,12220
Pop_AgeGroups,5370000,Tacoma,13365,51800,76000,39207,26908
Pop_AgeGroups,5363000,Seattle,33507,145959,309901,115810,83068
Pop_AgeGroups,5305210,Bellevue,7796,29862,55360,26366,19630
Pop_AgeGroups,5357745,Renton,7266,23086,40681,18433,10226
Pop_AgeGroups,5335415,Kent,8597,34749,46408,23519,13288
Pop_AgeGroups,5303180,Auburn,6246,21251,26472,15230,8241
Pop_AgeGroups,5374060,Vancouver,11065,43540,60930,30687,25171
Pop_AgeGroups,5380010,Yakima,7987,27863,29447,14577,13308
Pop_AgeGroups,5335275,Kennewick,6258,23656,25148,13838,9958
Pop_AgeGroups,5367000,Spokane,14162,55563,72259,40156,30842
Pop_AgeGroups,5322640,Everett,6789,27380,41256,20146,11989
Pop_AgeGroups,5367167,Spokane Valley,6009,21945,33032,18414,15024
Pop_AgeGroups,5414600,Charleston,3016,11629,15508,10657,8574
Pop_AgeGroups,5566000,Racine,5525,23489,25446,14158,9122
Pop_AgeGroups,5584250,Waukesha,4397,20096,25345,13120,9215
Pop_AgeGroups,5553000,Milwaukee,45766,185065,210144,98359,59752
Pop_AgeGroups,5539225,Kenosha,6763,28924,33481,18289,12166
Pop_AgeGroups,5548000,Madison,13033,81426,89931,36902,27564
Pop_AgeGroups,5502375,Appleton,5095,20512,24907,14138,9180
Pop_AgeGroups,5531000,Green Bay,8145,29742,35214,18857,12838
Pop_AgeGroups,5613900,Cheyenne,3986,16359,21362,11620,9659
Pop_AgeGroups,1150000,Washington,43607,150941,290104,107970,79769
