"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"Pop_AgeGroups","0404720","Avondale","6232","26307","30566","12441","6044","3193","2895","3532","3079","3151","3169","6232","7115","6548","6207","6437","7004","6039","6104","6146","5273","4944","4028","3469","2417","1601","2026"
"Pop_AgeGroups","0412000","Chandler","17277","67489","91872","44710","23812","7939","6440","9409","9040","9381","9579","17277","17542","18484","16785","14678","18676","17763","19117","18859","17457","17027","15655","12028","9317","5423","9072"
"Pop_AgeGroups","0473000","Tempe","7825","64043","64015","25007","17449","8156","14120","9097","5919","4408","4019","7825","7456","7355","18002","31230","21616","14599","9847","8861","9092","8909","8030","8068","6582","4114","6753"
"Pop_AgeGroups","0535710","Jonesboro","5123","23217","24384","11591","9266","3128","3256","3206","2625","2357","2464","5123","5542","4628","5995","7052","6153","4821","4794","4734","3882","4233","3614","3744","3033","1948","4285"
"Pop_AgeGroups","0541000","Little Rock","12861","51798","68814","38133","26174","5721","6866","8339","7486","6946","6534","12861","14024","12592","11845","13337","16367","14717","13468","12848","11414","12396","13302","12435","9547","5885","10742"
"Pop_AgeGroups","0524550","Fort Smith","6342","24130","28512","16366","12187","3096","3446","2937","2805","2341","3298","6342","6033","5282","6041","6774","6264","6057","5129","5832","5230","5939","5020","5407","4121","2879","5187"
"Pop_AgeGroups","0523290","Fayetteville","5179","32058","26789","10455","7408","4499","7429","4119","2777","2424","2079","5179","4052","3799","8590","15617","7939","6380","5002","4166","3302","4140","3467","2848","2174","1877","3357"
"Pop_AgeGroups","0566080","Springdale","7275","24275","27645","10947","7110","2497","2529","2507","3028","3088","2603","7275","7062","6644","5423","5146","5871","5818","6030","5481","4445","3966","3998","2983","2476","1807","2827"
"Pop_AgeGroups","0682590","Victorville","10745","40188","41708","18101","10979","4803","4126","4944","4312","3659","3979","10745","11580","10270","9697","8641","10518","8953","8286","7734","6217","7634","5444","5023","3742","3012","4225"
"Pop_AgeGroups","0633434","Hesperia","7396","31784","29123","16152","8735","3999","3554","3231","2983","2585","3323","7396","7932","8457","8334","7061","6892","5707","5208","5973","5343","6009","5808","4335","3459","2153","3123"
